ID,title,Year,Age,IMDb,primary_genre,Netflix,Hulu,Prime Video,Disney+,Type,Runtime_Range
277,I Still See You,2018,13+,5.8,Fantasy,0.0,1,1,0,0,90-120
278,Acrimony,2018,18+,5.8,Drama,0.0,1,1,0,0,90-120
279,Crash Pad,2017,18+,5.7,Comedy,0.0,1,1,0,0,90-120
280,Running with the Devil,2019,18+,5.4,Crime,0.0,1,0,0,0,90-120
281,The Numbers Station,2013,18+,5.6,Action,0.0,1,1,0,0,60-90
282,6 Below: Miracle on the Mountain,2017,13+,5.7,Adventure,0.0,1,0,0,0,90-120
283,Romeo & Juliet,2013,13+,5.8,Drama,0.0,1,0,0,0,90-120
284,Damascus Cover,2018,18+,5.1,Mystery,0.0,1,0,0,0,90-120
285,Wounds,2019,18+,4.0,Drama,0.0,1,0,0,0,90-120
286,The Lincoln Lawyer,2011,18+,7.3,Crime,0.0,0,1,0,0,90-120
287,Queen,2013,13+,8.2,Adventure,0.0,0,1,0,0,120-180
288,Black Book,2006,18+,7.7,Drama,0.0,0,1,0,0,120-180
289,The Italian Job,1969,all,7.3,Action,0.0,0,1,0,0,90-120
290,The Snowman,1982,all,8.2,Crime,0.0,0,1,0,0,90-120
291,Better Watch Out,2016,18+,6.5,Comedy,0.0,0,1,0,0,60-90
292,A Prayer Before Dawn,2018,18+,6.9,Biography,0.0,0,1,0,0,90-120
293,Climax,2018,18+,7.1,Drama,0.0,0,1,0,0,90-120
294,Late Night,2019,18+,6.5,Comedy,0.0,0,1,0,0,90-120
295,Macbeth,2015,18+,6.6,Drama,0.0,0,1,0,0,90-120
296,The Panama Papers,2018,13+,7.2,Documentary,0.0,0,1,0,0,90-120
297,City of Ghosts,2017,18+,7.4,Crime,0.0,0,1,0,0,90-120
298,Blood Brother,2013,7+,8.3,Horror,0.0,0,1,0,0,60-90
299,The Man in the Iron Mask,1998,13+,6.5,Action,0.0,0,1,0,0,120-180
300,After Tiller,2013,13+,7.5,Documentary,0.0,0,1,0,0,60-90
301,Eden,2012,18+,6.6,Biography,0.0,0,1,0,0,120-180
302,Night Owls,2015,18+,6.2,Comedy,0.0,0,1,0,0,60-90
303,Robin Hood,1922,7+,7.2,Action,0.0,0,1,1,0,120-180
304,A Vigilante,2018,18+,5.6,Crime,0.0,0,1,0,0,90-120
305,Life Itself,2018,18+,6.8,Drama,0.0,0,1,0,0,90-120
306,Soaked in Bleach,2015,13+,7.4,Documentary,0.0,0,1,0,0,60-90
307,The Music of Strangers: Yo-Yo Ma and the Silk Road Ensemble,2016,13+,7.7,Documentary,0.0,0,1,0,0,90-120
308,Look Both Ways,2005,13+,7.0,Drama,0.0,0,1,0,0,90-120
309,LBJ,2017,18+,6.5,Biography,0.0,0,1,0,0,90-120
310,Final Score,2018,18+,5.7,Action,0.0,0,1,0,0,90-120
311,Ashby,2015,18+,6.4,Comedy,0.0,0,1,0,0,90-120
