title,year,certificate,duration,genre,rating,description,stars,votes,ID,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Directors,Genres,Country,Language,Runtime,primary_genre
The Siege of Jadotville,(2016),TV-MA,108 min,"Action, Drama, History",7.2,Irish Commandant Pat Quinlan leads a stand off with troops against French and Belgian Mercenaries in the Congo during the early 1960s.,"['Richie Smyth', '| ', '    Stars:', 'Richard Lukunku, ', 'Danny Sapani, ', 'Andrew Stock, ', 'Mark Strong']","39,952",412,2016,,7.2,60%,1.0,0,0,0,0,Richie Smyth,"Action,Drama,History,Thriller,War","Ireland,South Africa","English,Irish,French",108.0,Action
Night Owls,(I) (2015),R,90 min,"Comedy, Drama",6.2,"Workaholic Kevin goes home with the beautiful train-wreck Madeline for a drunken one night stand, but he's horrified to discover she's actually his boss' jilted ex-mistress.","['Charles Hood', '| ', '    Stars:', 'Adam Pally, ', 'Rosa Salazar, ', 'Rob Huebel, ', 'Tony Hale']","2,443",5152,2015,18+,6.2,100%,0.0,0,1,0,0,Charles Hood,"Comedy,Drama",United States,English,90.0,Comedy
Step Sisters,(2018),PG-13,108 min,Comedy,5.4,"To get the college dean's backing for Harvard, Jamilah has to teach girls at a white sorority to step dance.","['Charles Stone III', '| ', '    Stars:', 'Megalyn Echikunwoke, ', 'Eden Sher, ', 'Lyndon Smith, ', 'Gage Golightly']","4,584",1503,2018,13+,5.4,22%,1.0,0,0,0,0,Charles Stone III,Comedy,United States,English,108.0,Comedy
The Discovery,(I) (2017),TV-MA,102 min,"Drama, Romance, Sci-Fi",6.2,"Two years after the afterlife is scientifically proven, a man attempts to help a young woman break away from her dark past.","['Charlie McDowell', '| ', '    Stars:', 'Robert Redford, ', 'Mary Steenburgen, ', 'Brian McCarthy, ', 'Jason Segel']","34,544",844,2017,18+,6.3,46%,1.0,0,0,0,0,Charlie McDowell,"Drama,Romance,Sci-Fi,Thriller",United States,English,102.0,Drama
Henry Gamble's Birthday Party,(2015),Unrated,87 min,Drama,6.1,Preacher's kid Henry Gamble is turning 17 today. Bring your swimsuit.,"['Stephen Cone', '| ', '    Stars:', 'Cole Doman, ', 'Joe Keery, ', 'Elizabeth Laidlaw, ', 'Pat Healy']","3,126",3898,2015,18+,6.1,83%,0.0,1,1,0,0,Stephen Cone,Drama,United States,English,87.0,Drama
Final Girl,(2015),R,84 min,"Horror, Thriller",4.7,A man teaches a young woman how to become a complete weapon. Later she is approached by a group of sadistic teens who kill blonde women for unknown reasons. The hunting season begins.,"['Tyler Shields', '| ', '    Stars:', 'Abigail Breslin, ', 'Wes Bentley, ', 'Logan Huffman, ', 'Alexander Ludwig']","15,916",6776,2015,18+,4.7,31%,0.0,0,1,0,0,Tyler Shields,"Horror,Thriller","Canada,United States",English,90.0,Horror
Secret Obsession,(2019),TV-14,97 min,Thriller,4.4,"Recuperating from trauma, Jennifer remains in danger as she returns to a life she doesn't remember.","['Peter Sullivan', '| ', '    Stars:', 'Brenda Song, ', 'Mike Vogel, ', 'Dennis Haysbert, ', 'Ashley Scott']","21,867",2012,2019,13+,4.3,36%,1.0,0,0,0,0,Peter Sullivan,"Drama,Mystery,Thriller",United States,English,97.0,Drama
The Debt Collector,(2018),Not Rated,95 min,"Action, Comedy",5.8,"A classically-trained martial artist goes to work as a mob debt collector. The job seems easy enough, until a client drags him into a situation deeper than could ever be anticipated.","['Jesse V. Johnson', '| ', '    Stars:', 'David Will No, ', 'Michael Paré, ', 'Scott Adkins, ', 'Vladimir Kulich']","7,762",915,2018,,5.7,80%,1.0,0,1,0,0,Jesse V. Johnson,"Action,Comedy","United Kingdom,United States",English,95.0,Action
A Vigilante,(2018),R,91 min,"Crime, Drama, Mystery",5.7,"After escaping her violent husband, Sadie makes it her life's mission to help free others in danger. After months of rigorous training in survival skills, boxing, and lethal martial arts, she is back with a vengeance.","['Sarah Daggar-Nickson', '| ', '    Stars:', 'Olivia Wilde, ', 'Morgan Spector, ', 'Kyle Catlett, ', 'Estefania Tejeda']","9,163",5218,2018,18+,5.6,92%,0.0,0,1,0,0,Sarah Daggar-Nickson,"Crime,Drama,Mystery,Thriller",United States,English,91.0,Crime
Time Trap,(2017),Not Rated,87 min,"Action, Adventure, Mystery",6.2,A professor enters a cave and goes missing. Some of his students come looking for him and get trapped in the cave as well.,"['Mark Dennis, ', 'Ben Foster', '| ', '    Stars:', 'Reiley McClendon, ', 'Cassidy Gifford, ', 'Brianne Howey, ', 'Olivia Draguicevich']","37,065",479,2017,18+,6.5,60%,1.0,0,0,0,0,"Mark Dennis,Ben Foster","Action,Adventure,Sci-Fi",United States,English,87.0,Action
On Body and Soul,(2017),Not Rated,116 min,"Drama, Fantasy, Mystery",7.5,"When slaughterhouse workers Endre and Mária discover they share the same dreams, where they meet in a forest as deer and fall in love, they decide to make their dreams come true, but it's difficult in real life.","['Ildikó Enyedi', '| ', '    Stars:', 'Alexandra Borbély, ', 'Géza Morcsányi, ', 'Réka Tenki, ', 'Zoltán Schneider']","27,775",193,2017,,7.6,89%,1.0,0,0,0,0,Ildikó Enyedi,"Drama,Fantasy,Mystery,Romance",Hungary,Hungarian,116.0,Drama
The Christmas Chronicles,(2018),PG,104 min,"Adventure, Comedy, Family",7.0,"The story of sister and brother, Kate and Teddy Pierce, whose Christmas Eve plan to catch Santa Claus on camera turns into an unexpected journey that most kids could only dream about.","['Clay Kaytis', '| ', '    Stars:', 'Kurt Russell, ', 'Darby Camp, ', 'Judah Lewis, ', 'Oliver Hudson']","72,157",323,2018,7+,7.1,64%,1.0,0,1,0,0,Clay Kaytis,"Adventure,Comedy,Family,Fantasy",United States,"English,Spanish,French,Romanian",104.0,Adventure
To All the Boys: P.S. I Still Love You,(2020),TV-14,101 min,"Comedy, Drama, Romance",6.0,Lara Jean and Peter have just taken their relationship from pretend to officially official when another recipient of one of her old love letters enters the picture.,"['Michael Fimognari', '| ', '    Stars:', 'Lana Condor, ', 'Noah Centineo, ', 'Jordan Fisher, ', 'Anna Cathcart']","38,979",556,2020,16+,6.0,75%,1.0,0,0,0,0,Michael Fimognari,"Comedy,Romance",United States,English,101.0,Comedy
Ludo,(2020),TV-MA,150 min,"Action, Comedy, Crime",7.6,"From a resurfaced sex tape to a rogue suitcase of money, four wildly different stories overlap at the whims of fate, chance and one eccentric criminal.","['Anurag Basu', '| ', '    Stars:', 'Pankaj Tripathi, ', 'Abhishek Bachchan, ', 'Rajkummar Rao, ', 'Fatima Sana Shaikh']","39,347",2884,2015,,2.8,,1.0,0,0,0,0,Anurag Basu,"Action,Comedy,Drama",India,Hindi,,Action
Bullet Head,(2017),R,93 min,"Crime, Drama, Thriller",5.4,Three career criminals find themselves trapped in a warehouse with the law closing in and an even worse threat waiting inside - a nigh unstoppable killer dog.,"['Paul Solet', '| ', '    Stars:', 'Adrien Brody, ', 'Antonio Banderas, ', 'John Malkovich, ', 'Rory Culkin']","10,383",1268,2017,18+,5.4,59%,1.0,0,0,0,0,Paul Solet,"Crime,Drama,Thriller","Bulgaria,United States",English,93.0,Crime
The Great Hack,(2019),TV-MA,114 min,"Documentary, Biography, History",7.0,The Cambridge Analytica scandal is examined through the roles of several affected persons.,"['Karim Amer, ', 'Jehane Noujaim', '| ', '    Stars:', 'Brittany Kaiser, ', 'David Carroll, ', 'Paul-Olivier Dehaye, ', 'Ravi Naik']","23,656",857,2019,,7.0,83%,1.0,0,0,0,0,"Karim Amer,Jehane Noujaim",Documentary,United States,English,114.0,Documentary
Lust Stories,(2018),,120 min,"Drama, Romance",6.4,"Four short films by four of India's biggest directors exploring love, sex and relationships in modern India.","['Zoya Akhtar, ', 'Dibakar Banerjee, ', 'Karan Johar, ', 'Anurag Kashyap', '| ', '    Stars:', 'Radhika Apte, ', 'Bhumi Pednekar, ', 'Kiara Advani, ', 'Vicky Kaushal']","11,004",1061,2018,13+,6.5,,1.0,0,0,0,0,"Zoya Akhtar,Dibakar Banerjee,Karan Johar,Anurag Kashyap","Drama,Romance",India,Hindi,120.0,Drama
Girl,(II) (2018),R,105 min,Drama,7.1,A promising teenage dancer enrolls at a prestigious ballet school while grappling with her gender dysphoria.,"['Lukas Dhont', '| ', '    Stars:', 'Victor Polster, ', 'Arieh Worthalter, ', 'Oliver Bodart, ', 'Tijmen Govaerts']","14,561",369,2018,18+,7.2,84%,1.0,0,1,0,0,Lukas Dhont,Drama,"Belgium,Netherlands","French,Flemish,English",105.0,Drama
Close,(I) (2019),TV-MA,94 min,"Action, Drama, Thriller",5.7,A female bodyguard is hired to protect an heiress on the run from assassins.,"['Vicky Jewson', '| ', '    Stars:', 'Noomi Rapace, ', 'Olivia Jewson, ', 'Abdellatif Chaouqi, ', 'Sophie Nélisse']","24,999",1152,2019,18+,5.7,37%,1.0,0,0,0,0,Vicky Jewson,"Action,Drama,Thriller","United Kingdom,United States","Arabic,French,English",94.0,Action
A Prayer Before Dawn,(2017),R,116 min,"Action, Biography, Crime",6.8,The true story of an English boxer incarcerated in one of Thailand's most notorious prisons as he fights in Muay Thai tournaments to earn his freedom.,"['Jean-Stéphane Sauvaire', '| ', '    Stars:', 'Joe Cole, ', 'Vithaya Pansringarm, ', 'Cherry Miko, ', 'Nicolas Shake']","23,669",4645,2018,18+,6.9,92%,0.0,0,1,0,0,Jean-Stéphane Sauvaire,"Biography,Crime,Drama,Sport,Thriller","United Kingdom,France,China,Cambodia,United States,Germany","English,Thai",116.0,Biography
Ala Vaikunthapurramuloo,(2020),Not Rated,163 min,"Action, Comedy, Drama",7.3,"Fate plays a vital role in connecting the life of Bantu, a son who seeks validation from his cold-hearted father with the life of Raj, whose millionaire father wishes that he was more assertive.","['Trivikram Srinivas', '| ', '    Stars:', 'Allu Arjun, ', 'Pooja Hegde, ', 'Tabu, ', 'Jayaram']","18,386",1110,2020,,7.2,,1.0,0,0,0,0,Trivikram Srinivas,"Action,Drama",India,"Telugu,Malayalam",163.0,Action
Sierra Burgess Is a Loser,(2018),PG-13,105 min,"Comedy, Drama, Romance",5.8,A case of mistaken identity results in unexpected romance when the most popular girl in high school and the biggest loser must come together to win over their crushes.,"['Ian Samuels', '| ', '    Stars:', 'Shannon Purser, ', 'Kristine Froseth, ', 'RJ Cyler, ', 'Noah Centineo']","39,160",767,2018,13+,5.8,66%,1.0,0,0,0,0,Ian Samuels,"Comedy,Drama,Romance",United States,English,105.0,Comedy
Shimmer Lake,(2017),Not Rated,86 min,"Action, Crime, Drama",6.3,An inventive crime thriller told backwards reversing day by day through a week following a local sheriff's quest to unlock the mystery of three small-town criminals and a bank heist gone wrong.,"['Oren Uziel', '| ', '    Stars:', 'Benjamin Walker, ', 'Rainn Wilson, ', 'Stephanie Sigman, ', 'John Michael Higgins']","14,949",1437,2017,18+,6.2,50%,1.0,0,0,0,0,Oren Uziel,"Crime,Drama,Mystery,Thriller","Canada,United States",English,83.0,Crime
Time to Hunt,(2020),TV-MA,134 min,"Action, Crime, Drama",6.3,"In the near future, a financial crisis will hit Korea and slums arise. From those areas, a group of young people commit crime to survive.","['Yoon Sunghyun', '| ', '    Stars:', 'Lee Jehoon, ', 'Jae-hong Ahn, ', 'Choi Woo-sik, ', 'Jeong Min Park']","5,795",1284,2020,,6.2,83%,1.0,0,0,0,0,Sung-hyun Yoon,"Action,Crime,Drama,Sci-Fi,Thriller",South Korea,Korean,134.0,Action
Our Souls at Night,(2017),TV-14,103 min,"Drama, Romance",6.9,"Fonda and Redford star as Addie Moore and Louis Waters, a widow and widower who've lived next to each other for years. The pair have almost no relationship, but that all changes when Addie tries to make a connection with her neighbor.","['Ritesh Batra', '| ', '    Stars:', 'Robert Redford, ', 'Jane Fonda, ', 'Matthias Schoenaerts, ', 'Iain Armitage']","13,656",416,2017,16+,6.9,90%,1.0,0,0,0,0,Ritesh Batra,"Drama,Romance",United States,English,103.0,Drama
Skiptrace,(2016),PG-13,107 min,"Action, Adventure, Comedy",5.6,A detective from Hong Kong teams up with an American gambler to battle against a notorious Chinese criminal.,"['Renny Harlin', '| ', '    Stars:', 'Jackie Chan, ', 'Johnny Knoxville, ', 'Bingbing Fan, ', 'Eric Tsang']","21,027",1192,2016,13+,5.7,38%,1.0,0,0,0,0,Renny Harlin,"Action,Adventure,Comedy,Crime,Thriller","China,Hong Kong,United States","Mandarin,English,Mongolian",107.0,Action
Then Came You,(2018),Not Rated,97 min,"Adventure, Comedy, Drama",6.9,A hypochondriac working as an airport baggage handler is forced to confront his fears when a British teenager with a terminal illness enlists him to help her carry out her eccentric bucket list.,"['Peter Hutchings', '| ', '    Stars:', 'Asa Butterfield, ', 'Maisie Williams, ', 'Nina Dobrev, ', 'Ken Jeong']","12,727",573,2019,13+,7.0,59%,1.0,0,0,0,0,Peter Hutchings,"Adventure,Comedy,Drama",United States,,97.0,Adventure
Initial D,(2005),TV-PG,107 min,"Action, Comedy, Drama",6.3,"After winning his first competition, Takumi focuses his attention on drift racing, a sport he has unknowingly perfected while delivering tofu in his father's Toyota AE86.","['Andrew Lau, ', 'Alan Mak, ', 'Ralph Rieckermann', '| ', '    Stars:', 'Jay Chou, ', 'Anthony Chau-Sang Wong, ', 'Edison Chen, ', 'Shawn Yue']","8,806",962,2005,7+,6.4,33%,1.0,0,0,0,0,"Andrew Lau,Alan Mak,Ralph Rieckermann","Action,Comedy,Drama,Romance","China,Hong Kong","Cantonese,English",107.0,Action
The Last Summer,(2019),TV-14,109 min,"Comedy, Romance",5.5,"Standing on the precipice of adulthood, a group of friends navigate new relationships, while reexamining others, during their final summer before college.","['William Bindley', '| ', '    Stars:', 'K.J. Apa, ', 'Maia Mitchell, ', 'Norman Johnson Jr., ', 'Jacob Latimore']","13,313",1321,2019,16+,5.6,17%,1.0,0,1,0,0,William Bindley,Comedy,United States,English,109.0,Comedy
Ethos,(2020),TV-MA,50 min,"Drama, Thriller",8.5,"A group of unique characters from dramatically different socio-cultural backgrounds meeting in startling circumstances in the vibrant and colorful city of Istanbul, - some by chance and some by force of will.","['Öykü Karayel, ', 'Fatih Artman, ', 'Funda Eryigit, ', 'Defne Kayalar']","26,869",7191,2011,,7.5,,0.0,0,1,0,0,Pete McGrain,Documentary,United States,English,78.0,Documentary
Badla,(2019),Not Rated,118 min,"Crime, Drama, Mystery",7.8,A dynamic young entrepreneur finds herself locked in a hotel room with the corpse of her dead lover. She hires a prestigious lawyer to defend her and they work together to figure out what actually happened.,"['Sujoy Ghosh', '| ', '    Stars:', 'Amitabh Bachchan, ', 'Taapsee Pannu, ', 'Amrita Singh, ', 'Antonio Aakeel']","28,099",447,2019,7+,7.9,57%,1.0,0,0,0,0,Sujoy Ghosh,"Crime,Drama,Mystery,Thriller",India,Hindi,118.0,Crime
Little Evil,(2017),TV-MA,94 min,"Comedy, Fantasy, Horror",5.7,"Gary, who has just married Samantha, the woman of his dreams, discovers that her six-year-old son may be the Antichrist.","['Eli Craig', '| ', '    Stars:', 'Evangeline Lilly, ', 'Owen Atlas, ', 'Adam Scott, ', 'Marcus Terrell Smith']","21,604",1037,2017,18+,5.7,83%,1.0,0,0,0,0,Eli Craig,"Comedy,Horror",United States,,94.0,Comedy
In the Shadow of Iris,(III) (2016),TV-MA,99 min,"Drama, Thriller",6.1,"Iris, young wife of a banker, disappears in Paris. Maybe a mechanic with many debts is involved in the strange affair. A really complicated job for the police.","['Jalil Lespert', '| ', '    Stars:', 'Romain Duris, ', 'Charlotte Le Bon, ', 'Jalil Lespert, ', 'Camille Cottin']","4,393",1944,2016,18+,6.1,,1.0,0,1,0,0,Jalil Lespert,"Drama,Thriller","France,Belgium",French,99.0,Drama
The Open House,(2018),TV-MA,94 min,"Horror, Thriller",3.3,A teenager and his mother find themselves besieged by threatening forces when they move into a new house.,"['Matt Angel, ', 'Suzanne Coote', '| ', '    Stars:', 'Dylan Minnette, ', 'Piercey Dalton, ', 'Patricia Bethune, ', 'Sharif Atkins']","34,572",2484,2018,18+,3.2,23%,1.0,0,0,0,0,"Matt Angel,Suzanne Coote","Horror,Thriller",United States,English,94.0,Horror
Stone of Destiny,(2008),PG,96 min,"Adventure, Comedy, Crime",6.7,"The story of Ian Hamilton, a dedicated nationalist who reignited Scottish national pride in the 1950s with his daring raid on the heart of England to bring the Stone of Scone back to Scotland.","['Charles Martin Smith', '| ', '    Stars:', 'Charlie Cox, ', 'Kate Mara, ', 'Stephen McCole, ', 'Ciaron Kelly']","4,114",6057,2008,7+,6.8,53%,0.0,0,1,0,0,Charles Martin Smith,"Adventure,Comedy,Crime,Drama,History","Canada,United Kingdom",English,96.0,Adventure
Last Breath,(2019),TV-MA,90 min,Documentary,7.7,A deep sea diver is stranded on the seabed with 5 minutes of oxygen and no hope of rescue. With access to amazing archive this is the story of one man's impossible fight for survival.,"['Richard da Costa, ', 'Alex Parkinson', '| ', '    Stars:', 'Duncan Allcock, ', 'Duncan Allcock, ', 'Kjetil Ove Alvestad, ', 'Stuart Anderson']","6,093",318,2019,,7.7,92%,1.0,0,0,0,0,"Richard da Costa,Alex Parkinson",Documentary,"United Kingdom,Belgium,Sweden",English,90.0,Documentary
Retribution,(2016),TV-MA,231 min,"Drama, Mystery, Thriller",7.0,A horrific murder rocks the lives of two families living side-by-side in isolated rural Scotland.,"['Joanna Vanderham, ', 'John Lynch, ', 'Julie Graham, ', 'Joe Dempsie']","8,444",419,2015,,6.6,100%,1.0,0,1,0,0,,"Drama,Mystery,Thriller",United Kingdom,English,60.0,Drama
Ip Man 3,(2015),PG-13,105 min,"Action, Biography, Drama",7.0,"When a band of brutal gangsters led by a crooked property developer make a play to take over a local school, Master Ip is forced to take a stand.","['Wilson Yip', '| ', '    Stars:', 'Donnie Yen, ', 'Lynn Xiong, ', 'Jin Zhang, ', 'Mike Tyson']","55,640",260,2015,13+,7.1,78%,1.0,0,0,0,0,Wilson Yip,"Action,Biography,Drama","China,Hong Kong","Cantonese,English",105.0,Action
"Crouching Tiger, Hidden Dragon: Sword of Destiny",(2016),PG-13,96 min,"Action, Adventure, Drama",6.1,"A story of lost love, young love, a legendary sword and one last opportunity at redemption.","['Woo-Ping Yuen', '| ', '    Stars:', 'Donnie Yen, ', 'Michelle Yeoh, ', 'Harry Shum Jr., ', 'Natasha Liu Bordizzo']","19,675",1212,2016,13+,6.1,20%,1.0,0,0,0,0,Woo-Ping Yuen,"Action,Adventure,Drama,Fantasy","China,United States",English,96.0,Action
Sandy Wexler,(2017),TV-14,130 min,Comedy,5.2,"Sandy Wexler is a talent manager working in Los Angeles in the 1990s, diligently representing a group of eccentric clients on the fringes of show business.","['Steven Brill', '| ', '    Stars:', 'Adam Sandler, ', 'Jennifer Hudson, ', 'Kevin James, ', 'Colin Quinn']","17,257",1350,2017,16+,5.1,27%,1.0,0,0,0,0,Steven Brill,Comedy,United States,English,130.0,Comedy
The Coldest Game,(2019),TV-MA,102 min,"History, Sport, Thriller",6.2,"During 1962's Cuban missile crisis, a troubled math genius finds himself drafted to play in a U.S.-Soviet chess match -- and a deadly game of espionage.","['Lukasz Kosmicki', '| ', '    Stars:', 'Bill Pullman, ', 'Lotte Verbeek, ', 'James Bloor, ', 'Robert Wieckiewicz']","10,990",1447,2019,18+,6.2,,1.0,0,0,0,0,Lukasz Kosmicki,Thriller,"Poland,United States","English,Russian",102.0,Thriller
6 Below: Miracle on the Mountain,(2017),PG-13,98 min,"Biography, Drama, Sport",5.7,"An adrenaline seeking snowboarder gets lost in a massive winter storm in the back country of the High Sierras where he is pushed to the limits of human endurance and forced to battle his own personal demons as he fights for survival....""","['Scott Waugh', '| ', '    Stars:', 'Josh Hartnett, ', 'Mira Sorvino, ', 'Sarah Dumont, ', 'Kale Culley']","7,648",4071,2017,13+,5.7,22%,0.0,1,0,0,0,Scott Waugh,"Adventure,Biography,Drama,Sport,Thriller",United States,English,98.0,Adventure
I Am the Pretty Thing That Lives in the House,(2016),,89 min,"Drama, Horror, Mystery",4.6,A young nurse takes care of an elderly author who lives in a haunted house.,"['Oz Perkins', '| ', '    Stars:', 'Ruth Wilson, ', 'Paula Prentiss, ', 'Bob Balaban, ', 'Lucy Boynton']","14,773",1706,2016,,4.5,60%,1.0,0,0,0,0,Oz Perkins,"Horror,Mystery,Thriller",Canada,English,89.0,Horror
The Breadwinner,(2017),PG-13,94 min,"Animation, Drama, Family",7.7,"In 2001, Afghanistan is under the control of the Taliban. When her father is captured, a determined young girl disguises herself as a boy in order to provide for her family.","['Nora Twomey', '| ', '    Stars:', 'Saara Chaudry, ', 'Soma Chhaya, ', 'Noorin Gulamgaus, ', 'Laara Sadiq']","25,472",170,2017,13+,7.7,95%,1.0,0,0,0,0,Nora Twomey,"Animation,Drama,Family,War","Ireland,Canada,Luxembourg,United States,United Kingdom,Philippines,India",English,94.0,Animation
Dilwale,(2015),Not Rated,158 min,"Action, Comedy, Drama",5.0,"The siblings of two estranged lovers fall for each other, unaware of the violent past that drove them apart.","['Rohit Shetty', '| ', '    Stars:', 'Shah Rukh Khan, ', 'Kajol, ', 'Varun Dhawan, ', 'Kriti Sanon']","34,990",1362,2015,7+,5.2,21%,1.0,0,0,0,0,Rohit Shetty,"Action,Comedy,Drama,Romance",India,Hindi,158.0,Action
Tramps,(2016),,82 min,"Adventure, Romance",6.5,A young man and woman find love in an unlikely place while carrying out a shady deal.,"['Adam Leon', '| ', '    Stars:', 'Callum Turner, ', 'Grace Van Patten, ', 'Michal Vondel, ', 'Mike Birbiglia']","5,721",513,2016,,6.5,95%,1.0,0,0,0,0,Adam Leon,"Comedy,Romance",United States,English,82.0,Comedy
I Lost My Body,(2019),TV-MA,81 min,"Animation, Drama, Fantasy",7.5,"A story of Naoufel, a young man who is in love with Gabrielle. In another part of town, a severed hand escapes from a dissection lab, determined to find its body again.","['Jérémy Clapin', '| ', '    Stars:', 'Hakim Faris, ', 'Victoire Du Bois, ', ""Patrick d'Assumçao, "", 'Alfonso Arfi']","32,912",161,2019,18+,7.6,96%,1.0,0,0,0,0,Jérémy Clapin,"Animation,Drama,Fantasy,Romance",France,French,81.0,Animation
Sunny,(2011),PG-13,124 min,"Comedy, Drama",7.8,"Seven girls become good friends in high school, then events pull them apart for 25 years. When one of the friends lies dying in a hospital, she wishes to see each of them one last time.","['Hyeong-Cheol Kang', '| ', '    Stars:', 'Ho-jeong Yu, ', 'Shim Eun-kyung, ', 'Hee-kyung Jin, ', 'Min-yeong Kim']","5,963",8013,2008,,6.4,,0.0,0,1,0,0,,Comedy,United States,English,22.0,Comedy
Halo 4: Forward Unto Dawn,(2012),Not Rated,100 min,"Action, Sci-Fi, Thriller",6.7,UNSC Cadet Thomas Lasky must conquer his inner fears and join forces with super-soldier John-117 to take down a massive faction of the Covenant.,"['Thom Green, ', 'Anna Popplewell, ', 'Enisha Brewster, ', 'Ayelet Zurer']","24,917",5934,2012,16+,6.9,,0.0,0,1,0,0,,"Action,Adventure,Family,Sci-Fi,Thriller,War",United States,English,100.0,Action
Monster,(II) (2018),Unrated,98 min,"Crime, Drama",6.5,"A smart, likeable, 17-year-old film student from Harlem sees his world turned upside down when he's charged with a murder. We follow his dramatic journey through a complex legal battle.","['Anthony Mandler', '| ', '    Stars:', 'A$AP Rocky, ', 'John David Washington, ', 'Kelvin Harrison Jr., ', 'Roberto Lopez']","5,890",15615,2008,,2.1,,0.0,0,1,0,0,Bong Joon Ho,"Action,Drama,Horror,Sci-Fi",South Korea,"Korean,English",120.0,Action
Alex Strangelove,(2018),TV-MA,99 min,"Comedy, Drama, Romance",6.3,"Alex, high school class president, nerd and a straight A student, has been dating Claire a long time. They decide to sleep together but then he meets a gay guy and he's confused.","['Craig Johnson', '| ', '    Stars:', 'Michael Abela, ', 'Brendan Archer, ', 'Joshua Barragan, ', 'Kai Wes']","17,989",401,2018,18+,6.3,86%,1.0,0,0,0,0,Craig Johnson,"Comedy,Drama,Romance",United States,English,99.0,Comedy
The Other Side of the Wind,(2018),R,122 min,Drama,6.7,A Hollywood director emerges from semi-exile with plans to complete work on an innovative motion picture.,"['Orson Welles', '| ', '    Stars:', 'John Huston, ', 'Oja Kodar, ', 'Peter Bogdanovich, ', 'Susan Strasberg']","7,370",622,2018,18+,6.8,83%,1.0,0,0,0,0,Orson Welles,Drama,"France,Iran,United States","English,German",122.0,Drama
Day of the Dead: Bloodline,(2017),R,90 min,"Action, Drama, Horror",3.4,A small group of military personnel and survivalists dwell in an underground bunker as they seek to find a cure in a world overrun by zombies.,"['Hèctor Hernández Vicens', '| ', '    Stars:', 'Sophie Skelton, ', 'Johnathon Schaech, ', 'Jeff Gum, ', 'Marcus Vanco']","12,043",2626,2017,18+,3.4,13%,1.0,0,0,0,0,Hèctor Hernández Vicens,Horror,"Bulgaria,United States",English,90.0,Horror
The Quake,(2018),PG-13,106 min,"Action, Drama, Thriller",6.2,"In 1904 an earthquake of magnitude 5.4 on the Richter scale shook Oslo, with an epicenter in the ""Oslo Graben"" which runs under the Norwegian capital. There are now signs that indicate that we can expect a major future earthquake in Oslo.","['John Andreas Andersen', '| ', '    Stars:', 'Kristoffer Joner, ', 'Ane Dahl Torp, ', 'Edith Haagenrud-Sande, ', 'Kathrine Thorborg Johansen']","12,293",3810,2018,13+,6.2,84%,0.0,1,0,0,0,John Andreas Andersen,"Action,Drama,Thriller",Norway,Norwegian,106.0,Action
First They Killed My Father,(2017),TV-MA,136 min,"Biography, Drama, History",7.1,Cambodian author and human rights activist Loung Ung recounts the horrors she suffered as a child under the rule of the deadly Khmer Rouge.,"['Angelina Jolie', '| ', '    Stars:', 'Sareum Srey Moch, ', 'Phoeung Kompheak, ', 'Sveng Socheata, ', 'Mun Kimhak']","18,547",351,2017,18+,7.2,89%,1.0,0,0,0,0,Angelina Jolie,"Biography,Drama,History,War","Cambodia,United States","Khmer,English,French",136.0,Biography
"Berlin, I Love You",(2019),R,120 min,"Drama, Romance",4.6,"Latest installment of the Cities of Love series (Paris, je t'aime / New York, I Love You / Rio, Eu Te Amo), this collective feature film is made of ten stories of romance set in the German capital.","['Dianna Agron, ', 'Peter Chelsom, ', 'Claus Clausen, ', 'Fernando Eimbcke, ', 'Justin Franklin, ', 'Dennis Gansel, ', 'Dani Levy, ', 'Daniel Lwowski, ', 'Stephanie Martin, ', 'Josef Rusnak, ', 'Til Schweiger, ', 'Massy Tadjedin, ', 'Gabriela Tscherniak', '| ', '    Stars:', 'Keira Knightley, ', 'Helen Mirren, ', 'Luke Wilson, ', 'Jim Sturgess']","3,433",2404,2019,18+,4.6,11%,1.0,0,0,0,0,"Dianna Agron,Peter Chelsom,Claus Clausen,Fernando Eimbcke,Justin Franklin,Dennis Gansel,Dani Levy,Daniel Lwowski,Stephanie Martin,Josef Rusnak,Til Schweiger,Massy Tadjedin,Gabriela Tscherniak","Drama,Romance",Germany,"English,German",120.0,Drama
Otherhood,(2019),R,100 min,Comedy,6.1,"A grounded, soulful, celebratory comedy about three mothers and their adult sons. The film explores the stage after motherhood, Otherhood, when you have to redefine your relationship with your children, friends, spouse, and most importantly, yourself.","['Cindy Chupack', '| ', '    Stars:', 'Angela Bassett, ', 'Patricia Arquette, ', 'Felicity Huffman, ', 'Jake Hoffman']","11,393",1197,2019,18+,6.0,29%,1.0,0,0,0,0,Cindy Chupack,Comedy,"United Kingdom,United States",English,100.0,Comedy
13th,(2016),TV-MA,100 min,"Documentary, Crime, History",8.2,An in-depth look at the prison system in the United States and how it reveals the nation's history of racial inequality.,"['Ava DuVernay', '| ', '    Stars:', 'Melina Abdullah, ', 'Michelle Alexander, ', 'Cory Booker, ', 'Dolores Canales']","35,589",88,2016,18+,8.2,96%,1.0,0,0,0,0,Ava DuVernay,"Documentary,Crime,News",United States,English,100.0,Documentary
