title,rating,Runtime
Jimmy Neutron: Boy Genius,6.0,82.0
Naked,5.4,132.0
Under the Shadow,6.8,84.0
Thumbelina,6.2,86.0
Dolemite Is My Name,7.2,118.0
The Girl with All the Gifts,6.6,111.0
Romeo & Juliet,5.7,118.0
The Do-Over,5.7,108.0
The Titan,4.8,97.0
Kodachrome,6.8,105.0
Dangerous Lies,5.3,96.0
Heart of Stone,7.9,95.0
Spectral,6.3,107.0
Beyond Evil,8.1,94.0
Into the Forest,5.8,101.0
The Perfect Date,5.8,89.0
Sergio,6.2,118.0
Sabotage,5.7,109.0
Cargo,6.3,105.0
Laggies,6.4,99.0
6 Days,6.2,94.0
Heirs,7.5,55.0
Stonehearst Asylum,6.8,112.0
Much Loved,6.2,104.0
The Decline,6.0,83.0
The Fundamentals of Caring,7.3,97.0
Kon-Tiki,7.2,118.0
Creep 2,6.4,78.0
Running with the Devil,5.4,100.0
Rim of the World,5.2,98.0
Look Who's Back,7.0,116.0
Arbitrage,6.6,107.0
The Boy Who Harnessed the Wind,7.6,113.0
The Crew,6.5,81.0
Inside Man: Most Wanted,5.6,105.0
The Little Prince,7.7,108.0
The Double,5.9,180.0
The Bookshop,6.5,113.0
Falling Inn Love,5.6,98.0
Duck Butter,5.3,93.0
Brain on Fire,6.6,88.0
Dangerous Liaisons,3.9,119.0
Kidnapping Stella,4.9,89.0
Final Score,5.8,104.0
Tau,5.8,97.0
The Wandering Earth,5.9,125.0
Love Wedding Repeat,5.5,100.0
The Occupant,6.4,103.0
The Willoughbys,6.3,90.0
Let It Snow,5.8,92.0
Elisa & Marcela,6.6,118.0
The Week Of,5.2,116.0
Ibiza,5.2,94.0
The Unicorn,7.2,22.0
Icarus,7.9,120.0
IO,4.7,96.0
The Siege of Jadotville,7.2,108.0
Night Owls,6.2,90.0
Step Sisters,5.4,108.0
The Discovery,6.2,102.0
Henry Gamble's Birthday Party,6.1,87.0
Final Girl,4.7,90.0
Secret Obsession,4.4,97.0
The Debt Collector,5.8,95.0
A Vigilante,5.7,91.0
Time Trap,6.2,87.0
On Body and Soul,7.5,116.0
The Christmas Chronicles,7.0,104.0
To All the Boys: P.S. I Still Love You,6.0,101.0
Ludo,7.6,
Bullet Head,5.4,93.0
The Great Hack,7.0,114.0
Lust Stories,6.4,120.0
Girl,7.1,105.0
Close,5.7,94.0
A Prayer Before Dawn,6.8,116.0
Ala Vaikunthapurramuloo,7.3,163.0
Sierra Burgess Is a Loser,5.8,105.0
Shimmer Lake,6.3,83.0
Time to Hunt,6.3,134.0
Our Souls at Night,6.9,103.0
Skiptrace,5.6,107.0
Then Came You,6.9,97.0
Initial D,6.3,107.0
Lift,6.1,95.0
The Last Summer,5.5,109.0
Ethos,8.5,78.0
Badla,7.8,118.0
Little Evil,5.7,94.0
In the Shadow of Iris,6.1,99.0
The Open House,3.3,94.0
Stone of Destiny,6.7,96.0
Last Breath,7.7,90.0
Retribution,7.0,60.0
Ip Man 3,7.0,105.0
"Crouching Tiger, Hidden Dragon: Sword of Destiny",6.1,96.0
Sandy Wexler,5.2,130.0
The Coldest Game,6.2,102.0
6 Below: Miracle on the Mountain,5.7,98.0
I Am the Pretty Thing That Lives in the House,4.6,89.0
The Breadwinner,7.7,94.0
Dilwale,5.0,158.0
Tramps,6.5,82.0
I Lost My Body,7.5,81.0
Sunny,7.8,22.0
Halo 4: Forward Unto Dawn,6.7,100.0
Monster,6.5,120.0
Alex Strangelove,6.3,99.0
The Other Side of the Wind,6.7,122.0
Day of the Dead: Bloodline,3.4,90.0
The Quake,6.2,106.0
First They Killed My Father,7.1,136.0
"Berlin, I Love You",4.6,120.0
Otherhood,6.1,100.0
Damsel,5.5,113.0
13th,8.2,100.0
6 Years,5.5,79.0
Rainbow,8.0,106.0
Triple Threat,5.6,96.0
Queen,7.1,146.0
Damascus Cover,5.3,93.0
Pee-wee's Big Holiday,6.1,90.0
The After Party,5.7,120.0
Berserk: The Golden Age Arc I - The Egg of the King,7.5,76.0
After Porn Ends,5.7,94.0
The Dawn Wall,8.1,100.0
Earthquake Bird,5.9,107.0
Message from the King,6.4,102.0
Players,4.1,88.0
The Returned,7.0,52.0
Uncorked,6.4,104.0
Berserk: The Golden Age Arc III - The Advent,7.8,110.0
Point Blank,5.7,86.0
Private Life,7.2,123.0
Acrimony,5.8,120.0
Like Father,6.1,98.0
Other People,6.8,97.0
Article 15,8.2,130.0
Mine,7.7,106.0
