title,year,duration,primary_genre,rating,vote_Range
Scorpion,(2014–2018),43 min,Action,7.0,40000-60000
Adventure Time,(2010–2018),11 min,Animation,8.6,80000-100000
Dead to Me,(2019–2022),30 min,Comedy,8.0,60000-80000
Designated Survivor,(2016–2019),60 min,Action,7.5,80000-100000
Dracula,(2020),270 min,Action,6.8,40000-60000
Narcos: Mexico,(2018–2021),50 min,Crime,8.4,80000-100000
That's Amor,(2022),96 min,Comedy,5.2,0-20000
Resident Evil,(2022),60 min,Action,4.0,20000-40000
Grace and Frankie,(2015–2022),30 min,Comedy,8.2,40000-60000
The Man from Toronto,(2022),110 min,Action,5.8,40000-60000
Snowpiercer,(2020–2023),60 min,Action,6.9,40000-60000
My Hero Academia,(2016– ),24 min,Animation,8.4,60000-80000
The House,(III) (2022),97 min,Animation,6.8,0-20000
Skins,(2007–2013),46 min,Drama,8.2,80000-100000
Bardo,(2022),174 min,Comedy,6.7,0-20000
Wendell & Wild,(2022),105 min,Animation,7.5,0-20000
The Woman in the House,(2022),208 min,Comedy,6.4,40000-60000
Behind Her Eyes,(2021),298 min,Drama,7.2,60000-80000
Bleach,(2004–2012),24 min,Animation,8.2,40000-60000
Big Mouth,(2017– ),30 min,Animation,7.9,60000-80000
Chilling Adventures of Sabrina,(2018–2020),60 min,Drama,7.4,80000-100000
Anne with an E,(2017–2019),60 min,Drama,8.7,40000-60000
Jane the Virgin,(2014–2019),60 min,Comedy,7.9,40000-60000
Incantation,(2022),110 min,Horror,6.2,0-20000
Queen of the South,(2016–2021),42 min,Action,8.0,20000-40000
Godless,(2017),452 min,Action,8.3,60000-80000
Ray Donovan,(2013–2020),60 min,Crime,8.3,80000-100000
Fakes,(2022– ),30 min,Comedy,6.3,0-20000
Heartstopper,(2022– ),30 min,Drama,8.7,40000-60000
Merlí. Sapere Aude,(2019–2021),50 min,Comedy,7.7,0-20000
The Affair,(2014–2019),60 min,Drama,7.9,40000-60000
Jujutsu Kaisen,(2020– ),24 min,Animation,8.6,40000-60000
Star Trek: Enterprise,(2001–2005),60 min,Action,7.5,40000-60000
Run,(I) (2020),90 min,Mystery,6.7,60000-80000
The Green Knight,(2021),130 min,Adventure,6.6,80000-100000
All of Us Are Dead,(2022– ),60 min,Action,7.5,40000-60000
"El Rey, Vicente Fernández",(2022– ),52 min,Biography,6.4,0-20000
Fauda,(2015– ),60 min,Action,8.2,20000-40000
Hubie Halloween,(2020),103 min,Comedy,5.2,40000-60000
Borgen,(2010–2022),58 min,Drama,8.5,20000-40000
Marcella,(2016– ),45 min,Crime,7.4,20000-40000
Reign,(2013–2017),42 min,Drama,7.4,40000-60000
Love Between Fairy and Devil,(2022– ),40 min,Comedy,8.6,0-20000
High Heat,(2022– ),45 min,Drama,5.9,0-20000
Workin' Moms,(2017–2023),30 min,Comedy,7.8,0-20000
Poldark,(2015–2019),60 min,Drama,8.3,20000-40000
Medici,(2016–2019),60 min,Biography,7.9,0-20000
Interceptor,(2022),99 min,Action,4.5,20000-40000
Shadowhunters,(2016–2019),42 min,Action,6.5,60000-80000
iZombie,(2015–2019),42 min,Comedy,7.8,60000-80000
SPY×FAMILY,(2022– ),24 min,Animation,8.6,0-20000
Fighting with My Family,(2019),108 min,Biography,7.1,80000-100000
The Ranch,(2016–2020),30 min,Comedy,7.5,20000-40000
Will & Grace,(1998–2020),22 min,Comedy,7.3,40000-60000
I'm Thinking of Ending Things,(2020),134 min,Drama,6.6,80000-100000
The Wonder,(2022),103 min,Drama,7.6,0-20000
Black Clover,(2017–2021),24 min,Animation,8.3,20000-40000
Russian Doll,(2019– ),30 min,Comedy,7.8,80000-100000
Below Deck Mediterranean,(2016– ),43 min,Reality-TV,7.5,0-20000
Lost in Space,(2018–2021),60 min,Adventure,7.3,80000-100000
The Forgotten Battle,(2020),124 min,Drama,7.1,20000-40000
A Cinderella Story,(2004),95 min,Comedy,5.9,80000-100000
Happy Valley,(2014–2022),58 min,Crime,8.5,20000-40000
The Stranger,(I) (2020),363 min,Crime,7.3,40000-60000
Paddington 2,(2017),103 min,Adventure,7.8,60000-80000
The Girl in the Mirror,(2022– ),56 min,Drama,6.2,0-20000
Terrifier,(2016),82 min,Horror,5.6,0-20000
Merlí,(2015–2018),58 min,Comedy,8.6,0-20000
Polar,(I) (2019),118 min,Action,6.3,80000-100000
Vinland Saga,(2019– ),24 min,Animation,8.8,20000-40000
Madam Secretary,(2014–2019),45 min,Drama,7.7,20000-40000
Full House,(1987–1995),22 min,Comedy,6.7,40000-60000
True Story,(III) (2021),260 min,Crime,7.4,0-20000
La jefa,(2022),109 min,Drama,4.7,0-20000
The Vault,(2021),118 min,Action,6.4,20000-40000
Pieces of a Woman,(2020),126 min,Drama,7.0,40000-60000
Nashville,(2012–2018),43 min,Drama,7.7,20000-40000
Footloose,(1984),107 min,Drama,6.6,80000-100000
Charlie's Angels,(2019),118 min,Action,4.9,60000-80000
Travelers,(2016–2018),45 min,Drama,8.0,40000-60000
The Lost Daughter,(2021),121 min,Drama,6.7,60000-80000
Miraculous: Tales of Ladybug & Cat Noir,(2015– ),20 min,Animation,7.6,0-20000
Texas Chainsaw Massacre,(2022),81 min,Crime,4.8,40000-60000
Senior Year,(2022),111 min,Comedy,5.5,20000-40000
"Bastard!! Heavy Metal, Dark Fantasy",(2022– ),25 min,Animation,6.6,0-20000
Castlevania,(2017–2021),23 min,Animation,8.3,60000-80000
Castle Rock,(2018–2019),60 min,Drama,7.5,40000-60000
The Harder They Fall,(2021),139 min,Action,6.5,60000-80000
Below Her Mouth,(2016),94 min,Drama,5.5,0-20000
Fear Street: Part One - 1994,(2021),107 min,Drama,6.2,60000-80000
Dirilis: Ertugrul,(2014–2019),120 min,Action,7.9,20000-40000
Crash Landing on You,(2019–2020),70 min,Adventure,8.7,20000-40000
Archive 81,(2022),60 min,Drama,7.3,40000-60000
Trailer Park Boys,(2001–2018),30 min,Comedy,8.6,40000-60000
Ratched,(2020– ),60 min,Crime,7.2,40000-60000
GLOW,(2017–2019),35 min,Comedy,8.0,40000-60000
Skyggen i mit øje,(2021),107 min,Drama,7.3,0-20000
Cowboy Bebop,(2021),58 min,Action,6.7,20000-40000
Shooter,(2016–2018),60 min,Action,7.5,20000-40000
Drifting Home,(2022),119 min,Animation,6.3,0-20000
Keep Breathing,(2022),209 min,Adventure,5.2,0-20000
The Bubble,(2022),126 min,Comedy,4.7,20000-40000
Bloodline,(2015–2017),60 min,Drama,7.9,40000-60000
Get Smart with Money,(2022),93 min,Documentary,5.6,0-20000
A Series of Unfortunate Events,(2017–2019),50 min,Adventure,7.8,60000-80000
Dark Desire,(2020–2022),30 min,Drama,6.5,0-20000
The Human Centipede (First Sequence),(2009),92 min,Horror,4.4,60000-80000
Barbarians,(2020– ),280 min,Action,7.2,20000-40000
The Bold Type,(2017–2021),45 min,Comedy,7.8,20000-40000
Atypical,(2017–2021),30 min,Comedy,8.3,80000-100000
3rd Rock from the Sun,(1996–2001),60 min,Comedy,7.8,40000-60000
One Of Us Is Lying,(2021– ),50 min,Crime,6.8,0-20000
Climax,(I) (2018),97 min,Drama,6.9,60000-80000
The Serpent,(2021),458 min,Crime,7.6,40000-60000
Alice in Borderland,(2020– ),50 min,Action,7.6,40000-60000
Gilmore Girls: A Year in the Life,(2016),370 min,Comedy,7.6,20000-40000
Carter,(I) (2022),132 min,Action,5.1,0-20000
The Babysitter,(I) (2017),85 min,Comedy,6.3,80000-100000
Outlaw King,(2018),121 min,Action,6.9,60000-80000
Good Witch,(2015–2021),48 min,Comedy,7.3,0-20000
Cleveland Abduction,(2015 TV Movie),88 min,Biography,6.6,0-20000
Army of Thieves,(2021),127 min,Action,6.4,60000-80000
Selling the OC,(2022– ),30 min,Reality-TV,5.5,0-20000
Dawson's Creek,(1998–2003),60 min,Drama,6.8,40000-60000
12 Strong,(2018),130 min,Action,6.5,80000-100000
Into the Night,(II) (2020– ),35 min,Drama,7.1,20000-40000
Inside Job,(2021– ),30 min,Animation,7.6,0-20000
Chef's Table: Pizza,(2022– ),45 min,Documentary,7.4,0-20000
Through My Window,(2022),116 min,Comedy,5.4,0-20000
He's All That,(2021),88 min,Comedy,4.4,20000-40000
Superwog,(2017– ),30 min,Comedy,7.4,0-20000
The Girl in the Spider's Web,(2018),115 min,Action,6.1,40000-60000
Shot Caller,(2017),121 min,Crime,7.3,80000-100000
The Missing,(2014–2016),60 min,Crime,8.2,20000-40000
Clusterf**k: Woodstock '99,(2022),142 min,Documentary,7.4,0-20000
Stay Close,(2021),375 min,Crime,6.9,20000-40000
Lou,(I) (2022),107 min,Action,5.9,0-20000
Lost Ollie,(2022),45 min,Animation,7.8,0-20000
Fatal Attraction,(1987),119 min,Drama,6.9,80000-100000
Untold: The Girlfriend Who Didn't Exist,(2022),124 min,Documentary,7.2,0-20000
Mighty Morphin Power Rangers,(1993–1996),30 min,Action,6.5,20000-40000
Love Is Blind,(2020– ),48 min,Game-Show,6.1,0-20000
The Pentaverate,(2022),160 min,Comedy,6.1,0-20000
Pan,(2015),111 min,Action,5.7,60000-80000
Crazy Ex-Girlfriend,(2015–2019),42 min,Comedy,7.8,20000-40000
When Calls the Heart,(2014– ),43 min,Drama,7.9,0-20000
Space Force,(2020–2022),30 min,Comedy,6.7,60000-80000
The Shannara Chronicles,(2016–2017),42 min,Adventure,7.1,60000-80000
Cars 3,(2017),102 min,Animation,6.7,80000-100000
The Alienist,(2018–2020),60 min,Crime,7.7,40000-60000
Pokémon,(1997– ),24 min,Animation,7.5,40000-60000
Wentworth,(2013–2021),45 min,Crime,8.6,20000-40000
I Think You Should Leave with Tim Robinson,(2019– ),16 min,Comedy,7.9,0-20000
Ivy & Bean,(2022),56 min,Action,5.9,0-20000
Robin Hood,(2018),116 min,Action,5.3,60000-80000
Return to Sender,(I) (2015),92 min,Drama,5.1,0-20000
Kingdom,(2019– ),45 min,Action,8.3,40000-60000
Windfall,(2022),92 min,Crime,5.7,20000-40000
Hell on Wheels,(2011–2016),42 min,Drama,8.3,40000-60000
Henry Danger,(2014–2020),30 min,Action,5.6,0-20000
Disenchantment,(2018– ),30 min,Animation,7.2,60000-80000
The Call,(2020),112 min,Crime,7.1,20000-40000
Fear Street: Part Two - 1978,(2021),109 min,Drama,6.7,60000-80000
The Ritual,(I) (2017),94 min,Horror,6.3,80000-100000
The Real Housewives of Beverly Hills,(2010– ),44 min,Reality-TV,5.2,0-20000
Monster Hunter,(I) (2020),103 min,Action,5.2,40000-60000
Between,(2015–2016),60 min,Drama,5.9,0-20000
The Amazing World of Gumball,(2011–2019),11 min,Animation,8.3,20000-40000
Metal Lords,(2022),97 min,Comedy,6.7,20000-40000
Darlings,(I) (2022),133 min,Comedy,6.6,0-20000
Steven Universe,(2013–2020),11 min,Animation,8.2,20000-40000
"Extremely Wicked, Shockingly Evil and Vile",(2019),110 min,Biography,6.7,80000-100000
Into the Badlands,(2015–2019),42 min,Action,7.9,40000-60000
Newness,(2017),117 min,Drama,6.3,0-20000
Santa Clarita Diet,(2017–2019),30 min,Comedy,7.8,60000-80000
Things Heard & Seen,(2021),121 min,Drama,5.3,20000-40000
Timeless,(2016–2018),60 min,Action,7.6,40000-60000
Girl in the Picture,(2022),101 min,Documentary,7.2,0-20000
Neon Genesis Evangelion,(1995–1996),24 min,Animation,8.5,60000-80000
The Cuphead Show!,(2022– ),12 min,Animation,7.4,0-20000
A Perfect Pairing,(2022),101 min,Comedy,6.1,0-20000
The Woman in the Window,(2021),100 min,Crime,5.7,60000-80000
Copshop,(2021),107 min,Action,6.2,20000-40000
The Starling,(2021),102 min,Comedy,6.3,0-20000
Between Two Ferns: The Movie,(2019),82 min,Comedy,6.1,20000-40000
Aftermath,(IV) (2021),114 min,Drama,5.3,0-20000
The Dirt,(2019),107 min,Biography,6.9,40000-60000
Vincenzo,(2021– ),80 min,Action,8.4,0-20000
Pera Palas'ta Gece Yarisi,(2022– ),45 min,Drama,7.1,0-20000
Unbreakable Kimmy Schmidt,(2015–2019),30 min,Comedy,7.6,60000-80000
Munich: The Edge of War,(2021),130 min,Biography,6.8,20000-40000
Kim's Convenience,(2016–2021),22 min,Comedy,8.2,0-20000
The Chestnut Man,(2021– ),50 min,Crime,7.7,40000-60000
Security,(I) (2017),88 min,Action,5.7,0-20000
Perfect Blue,(1997),81 min,Animation,8.0,60000-80000
The Boondocks,(2005–2014),22 min,Animation,8.5,20000-40000
Another Self,(2022– ),50 min,Drama,6.3,0-20000
Mob Psycho 100,(2016– ),24 min,Animation,8.6,20000-40000
Glitch,(2015–2019),45 min,Drama,7.2,0-20000
Night Teeth,(2021),107 min,Action,5.6,0-20000
The Snowman,(2017),119 min,Crime,5.1,60000-80000
Fuller House,(2016–2020),30 min,Comedy,6.7,20000-40000
The Kissing Booth,(2018),105 min,Comedy,5.9,80000-100000
No One Gets Out Alive,(2021),87 min,Drama,5.3,0-20000
Ludik,(2022– ),60 min,Crime,5.4,0-20000
Conan the Barbarian,(2011),113 min,Action,5.1,80000-100000
The Weekend Away,(2022),89 min,Crime,5.6,20000-40000
1922,(2017),102 min,Crime,6.2,60000-80000
A Jazzman's Blues,(2022),127 min,Drama,6.0,0-20000
Ash vs Evil Dead,(2015–2018),30 min,Action,8.4,60000-80000
Versailles,(2015–2018),52 min,Biography,7.9,0-20000
Code Geass,(2006–2008),24 min,Animation,8.7,60000-80000
Blue Mountain State,(2010–2011),22 min,Comedy,8.3,40000-60000
Black Summer,(2019–2021),40 min,Action,6.5,20000-40000
Black Crab,(2022),114 min,Action,5.6,20000-40000
12 Monkeys,(2015–2018),42 min,Adventure,7.7,40000-60000
Dota: Dragon's Blood,(2021– ),25 min,Animation,7.8,0-20000
Manhunt,(II) (2017– ),60 min,Biography,8.1,40000-60000
Kate,(I) (2021),106 min,Action,6.2,60000-80000
The Client,(1994),119 min,Crime,6.7,60000-80000
Below Deck,(2013– ),43 min,Reality-TV,7.4,0-20000
Against the Ice,(2022),102 min,Adventure,6.5,20000-40000
Maniac,(2018),386 min,Comedy,7.7,60000-80000
Clark,(2022),362 min,Action,7.4,0-20000
Deliver Us from Evil,(I) (2014),118 min,Action,6.2,60000-80000
Escape Room: Tournament of Champions,(2021),88 min,Action,5.7,40000-60000
Jeepers Creepers III,(2017),100 min,Horror,3.9,20000-40000
The Order,(2019–2020),60 min,Drama,6.7,20000-40000
Intrusion,(II) (2021),92 min,Drama,5.2,0-20000
Who Killed Sara?,(2021–2022),40 min,Crime,6.4,0-20000
Fractured,(I) (2019),99 min,Thriller,6.4,60000-80000
Jurassic World: Camp Cretaceous,(2020–2022),24 min,Animation,7.5,0-20000
Brazen,(2022),94 min,Crime,4.1,0-20000
Love,(2016–2018),50 min,Comedy,7.7,40000-60000
Rebecca,(I) (2020),123 min,Drama,6.0,40000-60000
Fantasy Island,(2020),109 min,Fantasy,4.9,40000-60000
Utopia,(I) (2013–2014),50 min,Drama,8.4,40000-60000
The Bad Batch,(2016),118 min,Action,5.2,20000-40000
Marco Polo,(2014–2016),60 min,Action,8.0,60000-80000
Below Zero,(2021),106 min,Action,6.2,0-20000
Insatiable,(2018–2019),45 min,Comedy,6.5,20000-40000
First Kill,(2022),60 min,Drama,6.4,20000-40000
The Festival of Troubadours,(2022),102 min,Drama,5.9,0-20000
Family Secrets,(2022– ),50 min,Comedy,5.9,0-20000
Fullmetal Alchemist: The Revenge of Scar,(2022),125 min,Action,5.3,0-20000
The Kominsky Method,(2018–2021),30 min,Comedy,8.2,20000-40000
I Am a Killer,(2018–2022),52 min,Documentary,7.4,0-20000
Slasher,(2016– ),60 min,Crime,6.7,0-20000
Ragnarok,(2020– ),45 min,Action,7.5,20000-40000
The Society,(2019),58 min,Drama,7.1,20000-40000
Frontier,(2016–2018),60 min,Adventure,7.1,20000-40000
Gunpowder Milkshake,(2021),114 min,Action,6.0,40000-60000
Athena,(2022),99 min,Action,7.0,0-20000
The Office Blind Date,(2022– ),60 min,Comedy,8.1,0-20000
God's Favorite Idiot,(2022– ),30 min,Comedy,5.7,0-20000
Choose or Die,(2022),84 min,Drama,4.7,20000-40000
Moesha,(1996–2001),30 min,Comedy,5.8,0-20000
Dirty John,(2018– ),44 min,Crime,7.2,20000-40000
Unorthodox,(2020),53 min,Drama,8.0,60000-80000
Indian Predator: The Butcher of Delhi,(2022),125 min,Documentary,6.0,0-20000
Hannah Montana,(2006–2011),23 min,Comedy,5.2,40000-60000
His House,(2020),93 min,Drama,6.5,40000-60000
You're Next,(2011),95 min,Horror,6.5,80000-100000
Seoul Vibe,(2022),138 min,Action,5.5,0-20000
I Am Not Okay with This,(2020),30 min,Comedy,7.5,60000-80000
Young Royals,(2021– ),50 min,Drama,8.3,20000-40000
Flashdance,(1983),95 min,Drama,6.2,40000-60000
Eurovision Song Contest: The Story of Fire Saga,(2020),123 min,Comedy,6.5,80000-100000
Gangubai Kathiawadi,(2022),152 min,Biography,7.0,40000-60000
Brand New Cherry Flavor,(2021),342 min,Drama,7.1,0-20000
Impractical Jokers,(2011– ),30 min,Comedy,8.6,40000-60000
Haikyu!!,(2014–2020),24 min,Animation,8.7,20000-40000
It's Okay to Not Be Okay,(2020),80 min,Comedy,8.6,20000-40000
There's Someone Inside Your House,(2021),96 min,Horror,4.8,0-20000
Sweet Home,(2020– ),52 min,Drama,7.3,20000-40000
Peppa Pig,(2004– ),9 min,Animation,6.3,0-20000
Love Hard,(2021),104 min,Comedy,6.3,40000-60000
Hometown Cha-Cha-Cha,(2021– ),70 min,Comedy,8.4,0-20000
Teen Titans Go!,(2013– ),10 min,Animation,5.4,20000-40000
Set It Up,(2018),105 min,Comedy,6.5,40000-60000
Happy!,(2017–2019),60 min,Action,8.1,20000-40000
Home Team,(2022),95 min,Comedy,6.0,0-20000
H2O: Just Add Water,(2006–2010),23 min,Drama,7.2,0-20000
Bill & Ted Face the Music,(2020),91 min,Adventure,5.9,40000-60000
Untitled Kanye West Documentary,(2022),93 min,Documentary,8.6,0-20000
Scream: The TV Series,(2015–2019),45 min,Comedy,7.1,40000-60000
Z Nation,(2014–2018),44 min,Action,6.7,20000-40000
Hellbound,(2021– ),150 min,Crime,6.6,20000-40000
Mank,(2020),131 min,Biography,6.8,60000-80000
Sacred Games,(2018–2019),50 min,Action,8.5,80000-100000
In the Shadow of the Moon,(2019),115 min,Action,6.2,40000-60000
Are You Afraid of the Dark?,(1990–2000),30 min,Drama,8.2,0-20000
News of the World,(2020),118 min,Action,6.8,80000-100000
The Meyerowitz Stories,(2017),112 min,Comedy,6.9,40000-60000
