title,year,duration,primary_genre,rating,vote_Range
Mimi,(I) (2021),132 min,Comedy,7.9,20000-40000
Office Christmas Party,(2016),105 min,Comedy,5.8,80000-100000
Isn't It Romantic,(2019),89 min,Comedy,5.9,60000-80000
Love Island,(2019– ),42 min,Game-Show,4.9,0-20000
Jimmy Neutron: Boy Genius,(2001),82 min,Animation,6.0,20000-40000
Naked,(I) (2017),96 min,Comedy,5.4,0-20000
Under the Shadow,(2016),84 min,Drama,6.8,20000-40000
My Love from Another Star,(2013–2014),60 min,Comedy,8.2,0-20000
Stavisky,(1974),120 min,Biography,6.5,0-20000
Dare Me,(2019–2020),42 min,Crime,6.6,0-20000
Rita,(2012–2020),40 min,Comedy,8.1,0-20000
Terrified,(2017),87 min,Horror,6.4,0-20000
Thumbelina,(1994),86 min,Animation,6.2,0-20000
Dolemite Is My Name,(2019),118 min,Biography,7.2,60000-80000
7 Prisoners,(2021),93 min,Crime,7.1,0-20000
The Girl with All the Gifts,(2016),111 min,Action,6.6,40000-60000
Outside the Wire,(2021),114 min,Action,5.4,40000-60000
Romeo & Juliet,(II) (2013),118 min,Drama,5.7,0-20000
Scarface,(1932),93 min,Action,7.7,20000-40000
The Last Legion,(2007),101 min,Action,5.4,20000-40000
Yeh Kaali Kaali Ankhein,(2022– ),51 min,Comedy,7.0,0-20000
How to Build a Sex Room,(2022– ),45 min,Reality-TV,6.6,0-20000
Tyrant,(2014–2016),60 min,Action,7.7,20000-40000
The Do-Over,(2016),108 min,Action,5.7,40000-60000
Fishbowl Wives,(2022– ),44 min,Drama,6.2,0-20000
You Me Her,(2016–2020),28 min,Comedy,7.0,0-20000
The Kissing Booth 3,(2021),112 min,Comedy,4.7,0-20000
Rebellion,(2016–2019),258 min,Drama,7.1,0-20000
Ride or Die,(III) (2021),142 min,Drama,5.6,0-20000
The Titan,(2018),97 min,Drama,4.8,20000-40000
As the Crow Flies,(2022– ),45 min,Drama,6.3,0-20000
Kodachrome,(2017),105 min,Drama,6.8,0-20000
Mystery Science Theater 3000,(1988–1999),92 min,Comedy,8.7,20000-40000
Dangerous Lies,(2020),96 min,Thriller,5.3,0-20000
Disappearance at Clifton Hill,(2019),100 min,Drama,5.4,0-20000
The Worst Witch,(2017– ),30 min,Family,7.2,0-20000
The Mess You Leave Behind,(2020),56 min,Crime,6.7,0-20000
Inuyasha,(2000–2004),24 min,Animation,7.9,0-20000
Porco Rosso,(1992),94 min,Animation,7.7,80000-100000
Mai,(2022– ),45 min,Crime,7.2,0-20000
Servant of the People,(2015–2019),28 min,Comedy,7.3,0-20000
Freud,(2020– ),55 min,Crime,6.5,0-20000
Spectral,(2016),107 min,Action,6.3,40000-60000
Haseen Dillruba,(2021),135 min,Crime,6.9,20000-40000
Flowers,(2016–2018),30 min,Comedy,8.1,0-20000
Step Up Revolution,(2012),99 min,Drama,6.4,40000-60000
The Sleepover,(2020),100 min,Action,5.6,0-20000
Skylines,(2020),113 min,Action,4.7,0-20000
Kakegurui,(2017–2019),24 min,Animation,7.2,0-20000
Bubble,(2022),100 min,Animation,6.3,0-20000
The Tale of The Princess Kaguya,(2013),137 min,Animation,8.0,40000-60000
Dear White People,(2017–2021),30 min,Comedy,6.1,20000-40000
Suburra: Blood on Rome,(2017–2020),50 min,Action,7.9,0-20000
Into the Forest,(2015),101 min,Drama,5.8,20000-40000
The Professor,(I) (2018),90 min,Comedy,6.7,20000-40000
Wild Wild Country,(2018),403 min,Documentary,8.1,20000-40000
The Perfect Date,(I) (2019),89 min,Comedy,5.8,20000-40000
A Fall from Grace,(2020),120 min,Thriller,5.8,0-20000
Touch,(2012–2013),43 min,Drama,7.3,40000-60000
Sergio,(2020),118 min,Biography,6.2,0-20000
Untold: Operation Flagrant Foul,(2022),76 min,Documentary,6.8,0-20000
Bad Trip,(2021),86 min,Comedy,6.5,20000-40000
Glória,(2021– ),40 min,Drama,7.9,0-20000
Rescued by Ruby,(2022),90 min,Biography,7.1,0-20000
Great News,(2017–2018),22 min,Comedy,7.0,0-20000
Sabotage,(2014),109 min,Action,5.7,60000-80000
"Ada Twist, Scientist",(2021– ),12 min,Animation,6.4,0-20000
Cargo,(I) (2017),105 min,Drama,6.3,40000-60000
That Girl Lay Lay,(2021– ),22 min,Comedy,3.6,0-20000
Entrevías,(2021– ),79 min,Action,6.7,0-20000
America: The Motion Picture,(2021),98 min,Animation,5.6,0-20000
Our Father,(III) (2022),97 min,Documentary,6.5,0-20000
Laggies,(2014),99 min,Comedy,6.4,40000-60000
Wasp Network,(2019),127 min,Crime,5.9,0-20000
Resort to Love,(2021),101 min,Comedy,5.7,0-20000
Move to Heaven,(2021– ),60 min,Drama,8.6,0-20000
Alvin and the Chipmunks: The Squeakquel,(2009),88 min,Animation,4.5,40000-60000
Fate/Zero,(2011–2012),24 min,Animation,8.2,0-20000
The I-Land,(2019),281 min,Adventure,4.6,0-20000
Suburbicon,(2017),105 min,Comedy,5.7,40000-60000
Invisible City,(2021– ),60 min,Crime,7.2,0-20000
Forbidden Love,(2008–2010),90 min,Drama,7.6,0-20000
6 Days,(I) (2017),94 min,Action,6.2,20000-40000
Family Reunion,(2019–2022),28 min,Comedy,6.5,0-20000
In for a Murder,(2021),105 min,Comedy,5.4,0-20000
Quicksand,(2019),45 min,Crime,7.4,20000-40000
Cocomelon,(2018–2022),4 min,Animation,4.7,0-20000
Untold: The Rise and Fall of AND1,(2022),68 min,Documentary,6.8,0-20000
Mosul,(I) (2019),101 min,Action,7.1,20000-40000
Sky Rojo,(2021–2022),31 min,Action,6.5,0-20000
My Little Pony: The Movie,(2017),99 min,Animation,6.0,0-20000
The Boys in the Band,(2020),121 min,Drama,6.8,0-20000
A Very Long Engagement,(2004),133 min,Drama,7.6,60000-80000
The Kissing Booth 2,(2020),134 min,Comedy,5.7,20000-40000
Top Chef,(2006– ),44 min,Game-Show,7.6,0-20000
Bruised,(2020),129 min,Drama,6.2,0-20000
Kung Fury,(2015),31 min,Short,8.0,40000-60000
To All the Boys: Always and Forever,(2021),109 min,Comedy,6.3,20000-40000
House of Secrets: The Burari Deaths,(2021),135 min,Documentary,7.4,0-20000
Stonehearst Asylum,(2014),112 min,Drama,6.8,40000-60000
V-Wars,(2019),60 min,Drama,6.0,0-20000
Good on Paper,(2021),92 min,Comedy,5.6,0-20000
Life Unexpected,(2010–2011),60 min,Drama,7.5,0-20000
RuPaul's Drag Race All Stars,(2012– ),60 min,Game-Show,8.5,0-20000
The Decline,(2020),83 min,Action,6.0,0-20000
Dead Man Down,(2013),118 min,Action,6.4,60000-80000
Broken City,(2013),109 min,Action,6.1,80000-100000
Unauthorized Living,(2018–2020),75 min,Drama,7.4,0-20000
The Fundamentals of Caring,(2016),97 min,Comedy,7.3,60000-80000
Kon-Tiki,(2012),118 min,Action,7.2,40000-60000
Creep 2,(2017),78 min,Crime,6.4,20000-40000
Tales from Earthsea,(2006),115 min,Animation,6.3,40000-60000
Yu Yu Hakusho: Ghost Files,(1992–1995),24 min,Animation,8.5,0-20000
Running with the Devil,(2019),100 min,Crime,5.4,0-20000
Somebody Feed Phil,(2018– ),60 min,Documentary,8.2,0-20000
Odd Squad,(2014– ),27 min,Action,7.1,0-20000
2067,(2020),114 min,Mystery,4.9,0-20000
Desperados,(2020),105 min,Comedy,5.2,0-20000
Arifureta: From Commonplace to World's Strongest,(2019– ),23 min,Animation,7.1,0-20000
Ivy + Bean: The Ghost That Had to Go,(2022),61 min,Comedy,6.0,0-20000
Rim of the World,(2019),98 min,Action,5.2,20000-40000
American Murder: The Family Next Door,(2020),83 min,Documentary,7.2,20000-40000
When Marnie Was There,(2014),103 min,Animation,7.7,40000-60000
Secret City,(2016–2019),49 min,Mystery,7.4,0-20000
Look Who's Back,(2015),116 min,Comedy,7.0,40000-60000
Double Team,(1997),93 min,Action,4.8,20000-40000
Mr. Iglesias,(2019–2020),30 min,Comedy,7.1,0-20000
PJ Masks,(2015– ),24 min,Animation,5.3,0-20000
Arbitrage,(2012),107 min,Drama,6.6,40000-60000
D.P.,(2021– ),50 min,Action,8.2,0-20000
The Boy Who Harnessed the Wind,(2019),113 min,Biography,7.6,20000-40000
Space Sweepers,(2021),136 min,Action,6.5,20000-40000
A Man for All Seasons,(1966),120 min,Biography,7.7,20000-40000
Sexify,(2021– ),40 min,Comedy,6.5,0-20000
The Red Balloon,(1956),34 min,Short,8.1,0-20000
Impetigore,(2019),106 min,Horror,6.6,0-20000
A Castle for Christmas,(2021),98 min,Adventure,5.5,0-20000
Beastars,(2019– ),23 min,Animation,7.7,0-20000
Geronimo: An American Legend,(1993),115 min,Drama,6.5,0-20000
Wanted,(2016–2018),60 min,Action,7.6,0-20000
The New Legends of Monkey,(2018– ),24 min,Action,6.5,0-20000
Inside Man: Most Wanted,(2019),105 min,Action,5.6,0-20000
S.W.A.T.: Under Siege,(2017),89 min,Action,4.6,0-20000
Unsolved Mysteries,(2020– ),45 min,Documentary,7.3,0-20000
The Cat Returns,(2002),75 min,Animation,7.2,40000-60000
Frozen Planet,(2011–2012),333 min,Documentary,9.0,20000-40000
Creeped Out,(2017–2019),30 min,Action,6.6,0-20000
The Best of Enemies,(2019),133 min,Biography,7.3,0-20000
Rurouni Kenshin Part I: Origins,(2012),134 min,Action,7.4,20000-40000
The Last Days of American Crime,(2020),148 min,Action,3.7,0-20000
The Little Prince,(2015),108 min,Animation,7.7,60000-80000
The Double,(I) (2011),98 min,Action,5.9,20000-40000
The Sound of Magic,(2022),70 min,Drama,7.7,0-20000
The Bookshop,(2017),113 min,Drama,6.5,0-20000
Meteor Garden,(2018– ),45 min,Drama,7.9,0-20000
We Bare Bears,(2014–2019),30 min,Animation,7.9,0-20000
The Old Ways,(II) (2020),90 min,Drama,5.4,0-20000
Hilda,(2018– ),24 min,Animation,8.5,0-20000
Traitors,(2019),60 min,History,6.6,0-20000
Falling Inn Love,(2019),98 min,Comedy,5.6,20000-40000
An Astrological Guide for Broken Hearts,(2021– ),30 min,Comedy,7.1,0-20000
14 Peaks: Nothing Is Impossible,(2021),101 min,Documentary,7.7,20000-40000
The Woods,(2020),306 min,Crime,6.6,0-20000
Black Space,(2020– ),45 min,Crime,6.7,0-20000
Drunken Master,(1978),111 min,Action,7.4,40000-60000
Trinkets,(2019–2020),30 min,Comedy,7.0,0-20000
Tiger King,(2020–2021),45 min,Documentary,7.5,60000-80000
Little Things,(2016– ),16 min,Comedy,8.2,0-20000
Duck Butter,(2018),93 min,Comedy,5.3,0-20000
Brain on Fire,(2016),88 min,Biography,6.6,20000-40000
Dangerous Liaisons,(2022),109 min,Drama,3.9,0-20000
Marmaduke,(2022),88 min,Animation,3.5,0-20000
Girlboss,(2017),26 min,Comedy,7.0,0-20000
On the Verge,(2021),35 min,Comedy,6.5,0-20000
Honeymoon,(2014),87 min,Drama,5.7,20000-40000
From Up on Poppy Hill,(2011),91 min,Animation,7.4,40000-60000
My Liberation Diary,(2022– ),60 min,Drama,8.3,0-20000
How NOT to Summon a Demon Lord,(2018– ),24 min,Animation,7.0,0-20000
Kidnapping Stella,(2019),89 min,Crime,4.9,0-20000
Dragons: Race to the Edge,(2015–2018),22 min,Animation,8.2,0-20000
Glow Up: Britain's Next Make-Up Star,(2019– ),60 min,Game-Show,6.9,0-20000
The Battle of Britain,(1969),132 min,Action,6.9,20000-40000
Worst Roommate Ever,(2022),236 min,Documentary,7.1,0-20000
Final Score,(2018),104 min,Action,5.8,0-20000
The Real Housewives of New York City,(2008– ),44 min,Reality-TV,4.6,0-20000
Ganglands,(2021– ),44 min,Action,7.0,0-20000
Tau,(2018),97 min,Sci-Fi,5.8,20000-40000
Hit and Run,(I) (2012),100 min,Action,6.1,20000-40000
Love on the Spectrum,(2019–2021),45 min,Documentary,8.6,0-20000
Penguin Bloom,(2020),95 min,Biography,6.8,0-20000
Buba,(2022),94 min,Comedy,5.8,0-20000
Malang,(2020),135 min,Action,6.5,0-20000
Furioza,(2021),139 min,Action,6.2,0-20000
Marauders,(2016),107 min,Action,5.5,20000-40000
The Future Diary,(2011–2013),25 min,Animation,7.5,0-20000
The Wandering Earth,(2019),125 min,Action,5.9,20000-40000
The Paradise,(2012–2013),60 min,Drama,7.7,0-20000
Get Even,(2020),28 min,Crime,6.4,0-20000
Surviving Summer,(2022– ),30 min,Drama,6.5,0-20000
Love Wedding Repeat,(2020),100 min,Comedy,5.5,20000-40000
Pieles,(2017),77 min,Comedy,6.1,0-20000
Only Yesterday,(1991),119 min,Animation,7.6,20000-40000
We Summon the Darkness,(2019),91 min,Horror,5.2,0-20000
The Principles of Pleasure,(2022),152 min,Documentary,5.8,0-20000
Juvenile Justice,(2022– ),60 min,Crime,7.9,0-20000
Ergo Proxy,(2006),25 min,Animation,7.9,0-20000
The Immigrant,(2013),120 min,Drama,6.6,20000-40000
The Occupant,(2020),103 min,Adventure,6.4,0-20000
A.N.T. Farm,(2011–2014),30 min,Comedy,5.0,0-20000
Record of Ragnarok,(2021– ),24 min,Animation,6.2,0-20000
Blippi,(2014– ),11 min,Family,6.7,0-20000
AJ and the Queen,(2020),52 min,Adventure,7.5,0-20000
Car Masters: Rust to Riches,(2018– ),40 min,Reality-TV,8.4,0-20000
The Willoughbys,(2020),90 min,Animation,6.3,0-20000
Satan's Slaves,(2017),107 min,Drama,6.5,0-20000
Wet Hot American Summer: Ten Years Later,(2017),216 min,Comedy,6.9,0-20000
History 101,(2020– ),22 min,Documentary,6.8,0-20000
Who Likes My Follower?,(2022– ),45 min,Reality-TV,4.4,0-20000
Let It Snow,(2019),92 min,Comedy,5.8,20000-40000
The House of Flowers,(2018–2020),60 min,Comedy,7.6,0-20000
Elisa & Marcela,(2019),118 min,Biography,6.6,0-20000
Step Up All In,(2014),112 min,Drama,5.9,20000-40000
Heirs to the Land,(2022),50 min,Drama,7.1,0-20000
The Ministry of Time,(2015–2020),70 min,Action,8.2,0-20000
Q-Force,(2021),30 min,Animation,6.4,0-20000
Love 101,(2020–2021),40 min,Comedy,7.5,0-20000
Fyre,(2018),97 min,Documentary,7.2,40000-60000
Damnation,(2017–2018),60 min,Crime,7.6,0-20000
Rogue City,(2020),116 min,Action,6.1,0-20000
Work It,(2020),93 min,Comedy,6.1,0-20000
Step Up 3D,(2010),107 min,Drama,6.1,40000-60000
Dorohedoro,(2020),25 min,Animation,8.1,0-20000
Extracurricular,(2020),50 min,Crime,7.6,0-20000
Breach,(IV) (2020),92 min,Action,2.9,0-20000
The Quintessential Quintuplets,(2019– ),24 min,Animation,7.7,0-20000
Bank Robbers: The Last Great Heist,(2022),109 min,Documentary,7.1,0-20000
Pipa,(2022),115 min,Crime,4.3,0-20000
Little Britain,(2003–2006),29 min,Comedy,7.7,20000-40000
The Week Of,(2018),116 min,Comedy,5.2,20000-40000
Disjointed,(2017–2018),30 min,Comedy,6.7,0-20000
Ibiza,(2018),94 min,Comedy,5.2,0-20000
A Boy Called Christmas,(2021),106 min,Adventure,6.7,20000-40000
Thai Cave Rescue,(2022),360 min,Adventure,7.3,0-20000
The Unicorn,(2019–2021),22 min,Comedy,7.2,0-20000
Who Rules the World,(2022– ),45 min,Action,8.3,0-20000
Night Stalker: The Hunt for a Serial Killer,(2021),189 min,Documentary,7.5,20000-40000
Icarus,(2017),120 min,Documentary,7.9,40000-60000
Zoe,(I) (2018),104 min,Romance,6.0,0-20000
Boss,(2011–2012),56 min,Crime,8.1,0-20000
Dogs of Berlin,(2018– ),542 min,Action,7.5,0-20000
Degrassi: Next Class,(2016–2017),30 min,Drama,6.8,0-20000
IO,(2019),96 min,Adventure,4.7,20000-40000
Voltron: Legendary Defender,(2016–2018),23 min,Animation,8.1,0-20000
Chickenhare and the Hamster of Darkness,(2022),91 min,Animation,6.3,0-20000
Untold: Crimes and Penalties,(2021),85 min,Documentary,7.4,0-20000
Rust Creek,(2018),108 min,Crime,5.9,0-20000
The Twelve,(2019–2020),50 min,Drama,7.4,0-20000
The Life and Movies of Erşan Kuneri,(2022– ),45 min,Comedy,6.7,0-20000
T-34,(2018),139 min,Action,6.7,0-20000
The Mystery of Marilyn Monroe: The Unheard Tapes,(2022),101 min,Documentary,6.2,0-20000
The Siege of Jadotville,(2016),108 min,Action,7.2,20000-40000
World Without End,(2012),374 min,Drama,6.9,0-20000
Night Owls,(I) (2015),90 min,Comedy,6.2,0-20000
Kengan Ashura,(2019– ),24 min,Animation,8.0,0-20000
Afterlife of the Party,(2021),109 min,Comedy,5.8,0-20000
Gymnastics Academy: A Second Chance!,(2022– ),25 min,Drama,8.2,0-20000
Jaguar,(2021– ),50 min,Action,5.7,0-20000
Step Sisters,(2018),108 min,Comedy,5.4,0-20000
Another,(2012),300 min,Animation,7.5,0-20000
Heartsong,(2022),95 min,Comedy,5.8,0-20000
The Discovery,(I) (2017),102 min,Drama,6.2,20000-40000
Out of Death,(2021),96 min,Crime,3.2,0-20000
Baki Hanma,(2021– ),25 min,Animation,6.7,0-20000
Le chant du loup,(2019),115 min,Action,6.9,0-20000
Ivy + Bean: Doomed to Dance,(2022),53 min,Comedy,6.0,0-20000
Henry Gamble's Birthday Party,(2015),87 min,Drama,6.1,0-20000
Remarriage & Desires,(2022– ),70 min,Drama,7.4,0-20000
Dhamaka,(2021),103 min,Crime,7.1,40000-60000
The Misfit of Demon King Academy,(2020–2022),23 min,Animation,7.3,0-20000
The ABCs of Death,(2012),129 min,Comedy,4.7,0-20000
Final Girl,(2015),84 min,Horror,4.7,0-20000
Spirit Untamed,(2021),88 min,Animation,5.5,0-20000
Greenhouse Academy,(2017–2020),25 min,Drama,6.6,0-20000
Monarca,(2019–2021),43 min,Drama,7.8,0-20000
Secret Obsession,(2019),97 min,Thriller,4.4,20000-40000
American Siege,(2021),91 min,Action,3.4,0-20000
Paranormal,(2020),45 min,Drama,8.0,60000-80000
Vicky and Her Mystery,(2021),84 min,Adventure,6.3,0-20000
Unsolved: The Murders of Tupac and the Notorious B.I.G.,(2018– ),60 min,Biography,7.8,0-20000
The Perfect Mother,(2021),192 min,Drama,5.9,0-20000
Trigun,(1998),24 min,Animation,8.2,20000-40000
The Devil Judge,(2021),75 min,Crime,8.3,0-20000
Love Tactics,(2022),97 min,Comedy,5.2,0-20000
The Whole Truth,(2016),93 min,Crime,6.2,20000-40000
John Dies at the End,(2012),99 min,Comedy,6.3,20000-40000
Drive Hard: The Maloof Way,(2022– ),32 min,Reality-TV,6.2,0-20000
The Legend of Drunken Master,(1994),102 min,Action,7.5,40000-60000
A California Christmas: City Lights,(2021),106 min,Comedy,5.5,0-20000
Fatal Affair,(2020),89 min,Thriller,4.5,0-20000
The Debt Collector,(2018),95 min,Action,5.8,0-20000
A Vigilante,(2018),91 min,Crime,5.7,0-20000
The Daily Life of the Immortal King,(2020– ),18 min,Animation,7.2,0-20000
The Water Man,(I) (2020),91 min,Adventure,5.5,0-20000
Prayers for the Stolen,(2021),110 min,Drama,7.3,0-20000
Great Teacher Onizuka,(1999–2000),24 min,Animation,8.5,0-20000
The Billion Dollar Code,(2021),267 min,Biography,8.0,0-20000
Time Trap,(2017),87 min,Action,6.2,20000-40000
Explained,(2018– ),18 min,Documentary,8.0,0-20000
Watership Down,(2018),204 min,Animation,7.2,0-20000
Rose Island,(2020),117 min,Adventure,7.0,20000-40000
Maya and the Three,(2021),30 min,Animation,8.1,0-20000
Inside the World's Toughest Prisons,(2016–2022),47 min,Documentary,7.1,0-20000
Flight 7500,(2014),80 min,Drama,4.8,0-20000
On Body and Soul,(2017),116 min,Drama,7.5,20000-40000
The Christmas Chronicles,(2018),104 min,Adventure,7.0,60000-80000
To All the Boys: P.S. I Still Love You,(2020),101 min,Comedy,6.0,20000-40000
Ludo,(2020),150 min,Action,7.6,20000-40000
No Good Nick,(2019),30 min,Comedy,5.9,0-20000
Collision,(2022),99 min,Crime,4.1,0-20000
Gone for Good,(2021),247 min,Crime,6.3,0-20000
Selena: The Series,(2020–2021),40 min,Biography,6.9,0-20000
Bullet Head,(2017),93 min,Crime,5.4,0-20000
The Night Before,(II) (2015),101 min,Comedy,6.3,60000-80000
The Summit of the Gods,(2021),95 min,Animation,7.5,0-20000
El marginal,(2016–2022),60 min,Crime,8.2,0-20000
Feria: The Darkest Light,(2022),50 min,Crime,5.6,0-20000
Rumspringa,(II) (2022),101 min,Comedy,5.4,0-20000
The Great Hack,(2019),114 min,Documentary,7.0,20000-40000
My Babysitter's a Vampire,(2011–2012),22 min,Action,6.9,0-20000
Downfall: The Case Against Boeing,(2022),89 min,Documentary,7.4,0-20000
The Club,(2021–2022),55 min,Drama,7.8,0-20000
Hard Cell,(2022– ),25 min,Comedy,6.3,0-20000
Nailed It!,(2018– ),33 min,Game-Show,7.4,0-20000
Man Like Mobeen,(2017– ),21 min,Comedy,8.0,0-20000
Girl,(II) (2018),105 min,Drama,7.1,0-20000
The Bonfire of Destiny,(2019),48 min,Drama,7.6,0-20000
October Faction,(2020),39 min,Adventure,6.1,0-20000
Close,(I) (2019),94 min,Action,5.7,20000-40000
Flaked,(2016– ),30 min,Comedy,7.2,0-20000
Toradora!,(2008–2009),24 min,Animation,8.0,0-20000
Boy Meets Girl,(I) (2014),95 min,Comedy,7.1,0-20000
Yaksha: Ruthless Operations,(2022),125 min,Action,6.2,0-20000
The Incredible Shrinking Man,(1957),81 min,Horror,7.6,0-20000
The Christmas Chronicles: Part Two,(2020),112 min,Adventure,6.0,20000-40000
Survivor,(I) (2015),96 min,Action,5.6,20000-40000
A Prayer Before Dawn,(2017),116 min,Action,6.8,20000-40000
Trust No One: The Hunt for the Crypto King,(2022),90 min,Documentary,6.3,0-20000
The Courier,(2019),99 min,Action,4.8,0-20000
Dirty Money,(2018– ),60 min,Documentary,8.1,0-20000
Love on the Spectrum U.S.,(2022– ),40 min,Documentary,8.2,0-20000
Noragami,(2014–2015),24 min,Animation,7.9,0-20000
Journal 64,(2018),119 min,Crime,7.4,0-20000
The Trial,(2019– ),52 min,Crime,7.2,0-20000
Chambers,(2019),60 min,Drama,6.4,0-20000
Ala Vaikunthapurramuloo,(2020),163 min,Action,7.3,0-20000
Sierra Burgess Is a Loser,(2018),105 min,Comedy,5.8,20000-40000
The Smurfs,(1981–1989),30 min,Animation,7.2,0-20000
Nightflyers,(2018),60 min,Drama,5.8,0-20000
Shimmer Lake,(2017),86 min,Action,6.3,0-20000
Madame Claude,(2021),112 min,Biography,5.4,0-20000
Pokémon Master Journeys,(2021– ),50 min,Animation,7.6,0-20000
Time to Hunt,(2020),134 min,Action,6.3,0-20000
Concrete Cowboy,(2020),111 min,Drama,6.3,0-20000
Our Souls at Night,(2017),103 min,Drama,6.9,0-20000
Trees of Peace,(2021),97 min,Drama,6.4,0-20000
Friendzone,(2021),88 min,Comedy,5.9,0-20000
MI-5,(2015),104 min,Action,6.2,20000-40000
Skiptrace,(2016),107 min,Action,5.6,20000-40000
Grand Designs,(1999– ),50 min,Documentary,8.5,0-20000
Tall Girl 2,(2022),97 min,Comedy,4.7,0-20000
Self Made: Inspired by the Life of Madam C.J. Walker,(2020),191 min,Biography,7.3,0-20000
Free Rein,(2017–2019),26 min,Action,7.1,0-20000
Then Came You,(2018),97 min,Adventure,6.9,0-20000
The Great Train Robbery,(2013),90 min,Biography,7.3,0-20000
Ouran High School Host Club,(2006),24 min,Animation,8.2,0-20000
Untold: Malice at the Palace,(2021),68 min,Documentary,7.5,0-20000
The Queen of Black Magic,(2019),99 min,Drama,6.5,0-20000
Iron Chef: Quest for an Iron Legend,(2022– ),45 min,Game-Show,7.2,0-20000
Samurai Rabbit: The Usagi Chronicles,(2022– ),25 min,Animation,6.4,0-20000
Spriggan,(2022– ),45 min,Animation,6.9,0-20000
The Last Mercenary,(2021),110 min,Action,5.3,0-20000
High-Rise Invasion,(2021– ),25 min,Animation,6.5,0-20000
Initial D,(2005),107 min,Action,6.3,0-20000
Great Pretender,(2020– ),23 min,Animation,7.9,0-20000
The Last Summer,(2019),109 min,Comedy,5.5,0-20000
Ethos,(2020),50 min,Drama,8.5,20000-40000
A Week Away,(2021),94 min,Drama,5.7,0-20000
The Puppet Master: Hunting the Ultimate Conman,(2022),127 min,Documentary,7.0,0-20000
The Movies That Made Us,(2019– ),44 min,Documentary,7.6,0-20000
The Gunman,(2015),115 min,Action,5.8,40000-60000
Badla,(2019),118 min,Crime,7.8,20000-40000
A Whisker Away,(2020),104 min,Animation,6.7,0-20000
Centaurworld,(2021),25 min,Animation,7.6,0-20000
Little Evil,(2017),94 min,Comedy,5.7,20000-40000
Sightless,(2020),89 min,Drama,5.5,0-20000
People Like Us,(2012),114 min,Comedy,7.0,40000-60000
Green Eggs and Ham,(2019– ),26 min,Animation,8.1,0-20000
Our Great National Parks,(2022),50 min,Documentary,7.9,0-20000
Silverton Siege,(2022),100 min,Action,6.2,0-20000
In the Shadow of Iris,(III) (2016),99 min,Drama,6.1,0-20000
The Open House,(2018),94 min,Horror,3.3,20000-40000
Ultraman,(2019– ),25 min,Animation,6.8,0-20000
Blade of the Immortal,(2017),140 min,Action,6.7,0-20000
Viceroy's House,(2017),106 min,Biography,6.7,0-20000
Record of Youth,(2020),70 min,Drama,7.2,0-20000
Age of Youth,(2016–2017),60 min,Comedy,8.3,0-20000
Yara,(2021),96 min,Crime,6.3,0-20000
Spoiled Brats,(2021),95 min,Comedy,6.0,0-20000
Stone of Destiny,(2008),96 min,Adventure,6.7,0-20000
Haunted,(2018– ),24 min,Horror,4.6,0-20000
Death Warrant,(1990),89 min,Action,5.6,0-20000
Last Breath,(2019),90 min,Documentary,7.7,0-20000
Ingobernable,(2017– ),40 min,Crime,7.0,0-20000
Blasted,(2022),114 min,Action,4.8,0-20000
Kotaro Lives Alone,(2022– ),27 min,Animation,8.4,0-20000
Power Rangers Dino Charge,(2015–2016),21 min,Action,6.4,0-20000
The Upshaws,(2021– ),30 min,Comedy,6.8,0-20000
She's Gotta Have It,(2017–2019),30 min,Comedy,6.8,0-20000
Cheer,(2020–2022),60 min,Documentary,8.1,0-20000
Conversations with a Killer: The John Wayne Gacy Tapes,(2022),183 min,Documentary,7.1,0-20000
Bling Empire,(2021– ),38 min,Reality-TV,5.8,0-20000
Sick Note,(2017–2018),30 min,Comedy,6.8,0-20000
Retribution,(2016),231 min,Drama,7.0,0-20000
Tabula Rasa,(2017),60 min,Drama,8.0,0-20000
Power Rangers Ninja Steel,(2017–2018),21 min,Action,5.8,0-20000
Is It Cake?,(2022– ),40 min,Reality-TV,5.7,0-20000
Backpackers,(2022),96 min,Comedy,5.7,0-20000
The 8th Night,(2021),115 min,Horror,5.3,0-20000
Sonic Boom,(2014–2017),11 min,Animation,6.8,0-20000
Carmen Sandiego,(2019–2021),22 min,Animation,7.9,0-20000
The Taming of the Shrewd,(II) (2022),112 min,Comedy,4.5,0-20000
Seal Team,(2021),101 min,Animation,5.5,0-20000
Voice,(2017–2021),60 min,Action,7.6,0-20000
The Frankenstein Chronicles,(2015–2017),48 min,Crime,7.2,0-20000
Ip Man 3,(2015),105 min,Action,7.0,40000-60000
Cobalt Blue,(II) (2022),112 min,Drama,6.5,0-20000
Blue Miracle,(2021),95 min,Adventure,6.6,0-20000
"Crouching Tiger, Hidden Dragon: Sword of Destiny",(2016),96 min,Action,6.1,0-20000
Bad Blood,(2017–2018),47 min,Crime,7.5,0-20000
Fast & Furious Spy Racers,(2019–2021),23 min,Animation,5.8,0-20000
Love Alarm,(2019–2021),50 min,Comedy,6.8,0-20000
Vanquish,(2021),94 min,Action,2.8,0-20000
Ghost in the Shell: Stand Alone Complex,(2002–2005),24 min,Animation,8.5,0-20000
Sandy Wexler,(2017),130 min,Comedy,5.2,0-20000
Extinct,(2021),84 min,Animation,5.4,0-20000
Looking Glass,(I) (2018),103 min,Mystery,4.6,0-20000
The Coldest Game,(2019),102 min,History,6.2,0-20000
